// Up, Left, Front, Right, Back, Algorithm
// The up face is a CSV string that can be read as a 2D array representing the colours on that face.
// The other faces are read anti-clockwise.
// Taken from https://jperm.net/algs/coll
GYG,YYY,BYB	YNY	ONR	YNY	RNO	R U R' U R U' R' U R U2 R'
OYR,YYY,GYG	YNY	RNO	YNY	BNB	F R U' R' U R U2 R' U' R U R' U' F'
GYR,YYY,BYR	YNY	ONG	YNY	BNO	R U R' U R U L' U R' U' L
GYG,YYY,BYB	RNR	YNY	ONO	YNY	F R U R' U' R U R' U' R U R' U' F'
BYY,YYY,YYO	YNR	GNY	GNO	BNR	R' U2 R U R' U' R U R' U' R U R' U R
GYY,YYY,YYG	RNO	BNO	YNB	RNY	R' U2 R' D' R U2 R' D R2
YYB,YYY,BYY	ONR	YNR	GNY	ONG	R U2 R D R' U2 R D' R2'
YYB,YYY,GYY	GNO	YNB	RNY	ONR	F R' F' r U R U' r'
YYO,YYY,RYY	BNG	YNB	RNY	GNO	x R' U R D' R' U' R D
YYG,YYY,RYY	GNY	BNO	BNO	YNR	R' U' R U R' F' R U R' U' R' F R2
BYO,YYY,GYO	YNY	RNY	GNB	YNR	R U2 R2 U' R2 U' R2 U2 R
BYR,YYY,OYB	YNY	GNY	ONG	YNR	R' F2 R U2 R U2 R' F2 U' R U' R'
GYB,YYY,BYG	YNY	ONY	RYR	YNO	R' U' F' R U R' U' R' F R2 U2 R' U2 R
OYG,YYY,GYR	YNY	RNY	BNO	YNB	R U R' U' R' F R2 U R' U' R U R' U' F'
OYR,YYY,OYR	YNY	GNY	BNG	YNB	R U' L' U R' U L U L' U L
RYG,YYY,RYB	YNY	BNY	ONO	YNG	R2 D' R U R' D R U R U' R' U R U R' U R
GYG,YYY,YYY	YNO	BNB	RNY	RNO	R U2 R' U' R U' R2 U2 R U R' U R
OYR,YYY,YYY	YNR	GNG	ONY	BNB	R' U R U2 R' L' U R U' L
YYR,YYY,YYB	ONB	RNY	ONG	YNG	l' U' L U l F' L' F
YYY,YYY,BYB	GNY	ONR	YNG	ONR	F R U R' U' R U' R' U' R U R' F'
OYY,YYY,BYY	GNR	YNO	BNR	GNY	r U R' U' r' F R F'
RYO,YYY,YYY	YNB	RNO	BNY	GNG	R' U R2 D r' U2 r D' R2 U' R
OYR,YYY,YYY	GNO	BNB	RNG	YNY	R' U' R U' R' U2 R2 U R' U R U2 R'
GYG,YYY,YYY	RNO	BNB	RNO	YNY	R' F R U' R' U' R U R' F' R U R' U' R' F R F' R
YYY,YYY,RYB	ONG	YNY	ONB	RNG	R2 D R' U2 R D' R' U2 R'
RYO,YYY,YYY	BNG	ONR	GNB	YNY	F R U' R' U R U R' U R U' R' F'
RYG,YYY,YYY	BNO	BNR	GNO	YNY	R2 D' R U2 R' D R U2 R
BYB,YYY,YYY	ONG	ONR	GNR	YNY	R2 D' R U R' D R U R U' R' U' R
